id               cut              feas_iter        end_iter         runtime          num_conscuts     num_sol          used_sol         opt_welfare      alpha            exp_welfare      efficiency       abs_dev          var              std_dev          coeff_var        decomp_onj      
1                central          5                5                2.313612         3                3                3                14291.534687     2.000000         7145.767344      1.000000         6829.602654      46649140.425553  6830.017601      0.955813         1.000000        
2                central          5                100              35.566902        57               6                4                14291.534687     2.000000         7145.767344      0.105263         7104.528471      50479993.612805  7104.927418      0.994285         1.000000        
3                central          5                1000             361.679465       802              89               5                14291.534687     2.000000         7145.767344      0.110973         6448.960968      41602691.175899  6450.014820      0.902634         1.000000        
4                shallow          5                5                1.625569         3                3                3                14291.534687     2.000000         7145.767344      1.000000         6829.602654      46649140.425553  6830.017601      0.955813         1.000000        
5                shallow          5                100              37.130314        53               9                3                14291.534687     2.000000         7145.767344      0.169811         6829.602654      46649140.425553  6830.017601      0.955813         1.000000        
6                shallow          5                1000             363.471230       537              36               6                14291.534687     2.000000         7145.767344      0.067039         6636.476922      44180846.829143  6646.867445      0.930182         1.000000        
7                deep             30               30               10.622802        16               6                5                14291.534687     2.000000         7145.767344      0.375000         6196.241269      38429568.851870  6199.158721      0.867529         1.000000        
8                deep             30               100              33.549045        60               12               5                14291.534687     2.000000         7145.767344      0.200000         6787.069103      46084226.616212  6788.536412      0.950008         1.000000        
9                deep             30               1000             347.694556       776              99               3                14291.534687     2.000000         7145.767344      0.127577         6688.800559      44745720.940165  6689.224241      0.936110         1.000000        
11               central          0                0                0.000000         0                3                3                14291.534687     2.000000         7145.767344      Infinity         7104.531379      50480034.126869  7104.930269      0.994285         1.000000        
12               deep             6                6                2.339965         3                3                3                14291.534687     2.000000         7145.767344      1.000000         6829.602654      46649140.425553  6830.017601      0.955813         1.000000        
13               deep             6                100              26.925601        43               7                3                14291.534687     2.000000         7145.767344      0.162791         6788.366689      46087590.317633  6788.784156      0.950043         1.000000        
14               deep             6                1000             321.825669       703              63               7                14291.534687     2.000000         7145.767344      0.089616         5793.166531      34062899.744080  5836.343011      0.816755         1.000000        
15               central          73               73               25.624669        37               8                3                14291.534687     2.000000         7145.767344      0.216216         6126.215137      37536179.923774  6126.677723      0.857386         1.000000        
16               central          73               100              33.266799        54               17               6                14291.534687     2.000000         7145.767344      0.314815         6360.917484      40490921.808568  6363.247741      0.890492         1.000000        
17               central          73               1000             368.666143       799              90               6                14291.534687     2.000000         7145.767344      0.112641         5965.381807      36014021.744150  6001.168365      0.839821         1.000000        
18               central          341              341              825.764160       316              73               7                14291.534687     2.000000         7145.767344      0.231013         4674.032390      21898795.972218  4679.614938      0.654879         1.000000        
19               central          0                100              197.168303       100              1                0                14291.534687     2.000000         0.000000         0.010000         0.000000         0.000000         0.000000         NaN              0.000000        
20               central          341              1000             1127.608031      883              363              9                14291.534687     2.000000         7145.767344      0.411099         5725.941931      33126492.644253  5755.561888      0.805451         1.000000        
21               central          13               13               5.326845         7                4                4                14291.534687     2.000000         9527.689792      0.571429         6141.016735      42441623.152764  6514.723567      0.683767         1.000000        
22               central          80               80               31.368331        45               6                4                14291.534687     2.000000         12992.304261     0.133333         2287.258604      15827368.247229  3978.362508      0.306209         1.000000        
26               central          5                5                1.313460         3                3                3                14291.534687     2.000000         7145.767344      1.000000         6829.602654      46649140.425553  6830.017601      0.955813         1.000000        
27               central          5                100              14.488314        57               6                3                14291.534687     2.000000         7145.767344      0.105263         6788.366689      46087590.317633  6788.784156      0.950043         1.000000        
28               central          5                1000             138.360373       802              89               4                14291.534687     2.000000         7145.767344      0.110973         5156.068026      26588123.254972  5156.367254      0.721597         1.000000        
