id               cut              feas_iter        end_iter         runtime          num_conscuts     num_sol          used_sol         opt_welfare      alpha            exp_welfare      efficiency       abs_dev          var              std_dev          coeff_var        decomp_obj      
1                central          5                5                0.984459         3                3                3                13466.603376     2.000000         6733.301688      1.000000         4959.496539      24601862.019857  4960.026413      0.736641         1.000000        
2                central          5                100              12.696293        62               7                4                13466.603376     2.000000         6733.301688      0.112903         6603.062710      43790427.163780  6617.433578      0.982792         1.000000        
3                central          5                1000             141.309630       830              56               7                13466.603376     2.000000         6733.301688      0.067470         4990.655128      25027805.686123  5002.779796      0.742991         1.000000        
4                shallow          5                5                0.627296         3                3                3                13466.603376     2.000000         6733.301688      1.000000         4959.496539      24601862.019857  4960.026413      0.736641         1.000000        
5                shallow          5                100              13.360649        54               9                4                13466.603376     2.000000         6733.301688      0.166667         6527.536948      42854551.587862  6546.338793      0.972233         1.000000        
6                shallow          5                1000             128.061511       573              43               3                13466.603376     2.000000         6733.301688      0.075044         5087.183770      25884694.802203  5087.700345      0.755603         1.000000        
7                deep             11               11               1.509036         6                4                3                13466.603376     2.000000         6733.301688      0.666667         4959.496539      24601862.019857  4960.026413      0.736641         1.000000        
8                deep             11               100              12.236886        64               23               4                13466.603376     2.000000         6733.301688      0.359375         4889.257835      23910646.178281  4889.851345      0.726219         1.000000        
9                deep             11               1000             138.768974       804              197              5                13466.603376     2.000000         6733.301688      0.245025         5644.168116      31876893.437302  5645.962578      0.838513         1.000000        
11               central          0                0                0.000000         0                3                3                13466.603376     2.000000         6733.301688      Infinity         6694.549376      44822247.439780  6694.941930      0.994303         1.000000        
12               deep             6                6                1.079496         3                3                3                13466.603376     2.000000         6733.301688      1.000000         4959.496539      24601862.019857  4960.026413      0.736641         1.000000        
13               deep             6                100              9.502142         50               11               5                13466.603376     2.000000         6733.301688      0.220000         5910.429207      35681562.620553  5973.404609      0.887143         1.000000        
14               deep             6                1000             134.702696       757              108              5                13466.603376     2.000000         6733.301688      0.142668         6350.808070      41130999.154092  6413.345395      0.952482         1.000000        
15               central          45               45               6.043242         23               7                3                13466.603376     2.000000         6733.301688      0.304348         4920.744227      24218979.843334  4921.278273      0.730886         1.000000        
16               central          45               100              12.679849        61               16               4                13466.603376     2.000000         6733.301688      0.262295         4926.653023      24277553.629442  4927.225754      0.731770         1.000000        
17               central          45               1000             144.314766       836              78               6                13466.603376     2.000000         6733.301688      0.093301         5063.077659      26733029.142965  5170.399321      0.767885         1.000000        
21               central          9                9                1.662382         5                4                4                13466.603376     1.500000         8977.735584      0.800000         4802.620290      26433886.403702  5141.389540      0.572682         1.000000        
22               central          77               77               9.982419         46               7                4                13466.603376     1.100000         12242.366706     0.152174         2020.711974      12174964.330073  3489.264153      0.285015         1.000000        
26               central          5                5                1.025027         3                3                3                13466.603376     2.000000         6733.301688      1.000000         4959.496539      24601862.019857  4960.026413      0.736641         1.000000        
27               central          5                100              7.197591         62               7                3                13466.603376     2.000000         6733.301688      0.112903         4920.744227      24218979.843334  4921.278273      0.730886         1.000000        
28               central          5                1000             65.419696        830              56               3                13466.603376     2.000000         6733.301688      0.067470         4724.438428      22325574.554871  4724.994662      0.701735         1.000000        
